long,lat,group,order,region,subregion
-112.80717,25.50935,64,16111,alaska,NA
-112.82419,25.48194,64,16112,alaska,NA
-112.83997,25.34854,64,16113,alaska,NA
-112.87247,25.59103,64,16110,alaska,NA
-112.87504,25.29101,64,16114,alaska,NA
-112.88051,25.31472,64,16115,alaska,NA
-112.89106,25.73192,64,16107,alaska,NA
-112.89263,25.27232,64,16116,alaska,NA
-112.90557,25.66502,64,16109,alaska,NA
-112.90558,25.66503,64,16108,alaska,NA
-112.91118,25.28888,64,16118,alaska,NA
-112.9139,25.4915,64,16125,alaska,NA
-112.92834,25.2626,64,16119,alaska,NA
-112.92967,25.34167,64,16117,alaska,NA
-112.93265,25.80133,64,16106,alaska,NA
-112.93829,25.38299,64,16124,alaska,NA
-112.94265,25.46916,64,16132,alaska,NA
-112.94785,25.38612,64,16126,alaska,NA
-112.95051,25.27198,64,16120,alaska,NA
-112.95739,25.4841,64,16133,alaska,NA
-112.96742,25.39958,64,16127,alaska,NA
-112.96754,25.38366,64,16123,alaska,NA
-112.97146,25.32652,64,16121,alaska,NA
-112.98488,25.37168,64,16128,alaska,NA
-112.99204,25.33601,64,16122,alaska,NA
-112.99789,25.4557,64,16134,alaska,NA
-113.00256,25.78197,64,16105,alaska,NA
-113.01153,25.43974,64,16131,alaska,NA
-113.01665,25.37524,64,16129,alaska,NA
-113.02569,25.81672,64,16104,alaska,NA
-113.02703,25.39921,64,16130,alaska,NA
-113.02986,25.47815,73,17316,alaska,NA
-113.0324,25.42784,73,17318,alaska,NA
-113.04427,25.39574,73,17319,alaska,NA
-113.04452,25.47907,73,17317,alaska,NA
-113.05068,25.59662,64,16135,alaska,NA
-113.05358,25.57048,73,17315,alaska,NA
-113.06328,25.81344,64,16103,alaska,NA
-113.07001,25.6327,64,16137,alaska,NA
-113.07067,25.32265,92,17670,alaska,NA
-113.07303,25.42964,73,17321,alaska,NA
-113.07448,25.61735,64,16136,alaska,NA
-113.08411,25.39785,73,17320,alaska,NA
-113.08584,25.4128,73,17323,alaska,NA
-113.08604,25.62229,64,16138,alaska,NA
-113.08724,25.46511,73,17322,alaska,NA
-113.09254,25.30166,92,17671,alaska,NA
-113.09391,25.37946,92,17669,alaska,NA
-113.10047,25.4733,73,17325,alaska,NA
-113.10605,25.31011,92,17673,alaska,NA
-113.10726,25.84172,64,16102,alaska,NA
-113.11183,25.4626,73,17327,alaska,NA
-113.11636,25.32992,92,17672,alaska,NA
-113.11674,25.34475,92,17676,alaska,NA
-113.11844,25.29102,92,17674,alaska,NA
-113.11876,25.38686,92,17668,alaska,NA
-113.11876,25.38686,92,17678,alaska,NA
-113.12245,25.40384,73,17324,alaska,NA
-113.12551,25.732,64,16140,alaska,NA
-113.12859,25.42045,73,17328,alaska,NA
-113.13044,25.33155,92,17675,alaska,NA
-113.13291,25.43013,73,17331,alaska,NA
-113.13733,25.40365,73,17332,alaska,NA
-113.14211,25.54247,73,17326,alaska,NA
-113.14573,25.38453,92,17677,alaska,NA
-113.14844,25.49398,73,17329,alaska,NA
-113.14995,25.67109,64,16139,alaska,NA
-113.15403,25.66178,73,17314,alaska,NA
-113.15658,25.39364,93,17680,alaska,NA
-113.15832,25.40759,73,17302,alaska,NA
-113.15832,25.40759,73,17333,alaska,NA
-113.15866,25.46984,73,17330,alaska,NA
-113.16236,25.33241,93,17682,alaska,NA
-113.16995,25.83375,64,16101,alaska,NA
-113.1703,25.19178,66,17019,alaska,NA
-113.17072,25.15268,66,17021,alaska,NA
-113.17458,25.83513,64,16100,alaska,NA
-113.1746,25.65949,64,16141,alaska,NA
-113.18169,25.1847,66,17020,alaska,NA
-113.18321,25.37076,93,17681,alaska,NA
-113.18365,25.60681,73,17312,alaska,NA
-113.18677,25.56039,73,17308,alaska,NA
-113.18711,25.58454,73,17310,alaska,NA
-113.18767,25.22873,66,17017,alaska,NA
-113.1925,25.35338,93,17683,alaska,NA
-113.19319,25.48612,73,17304,alaska,NA
-113.19323,25.50692,73,17305,alaska,NA
-113.19789,25.66808,64,16142,alaska,NA
-113.20103,25.27658,66,17015,alaska,NA
-113.20445,25.22137,66,17018,alaska,NA
-113.20464,25.25241,66,17016,alaska,NA
-113.21496,25.50876,73,17306,alaska,NA
-113.21536,25.42617,93,17679,alaska,NA
-113.21536,25.42617,93,17685,alaska,NA
-113.21718,25.3013,66,17011,alaska,NA
-113.21904,25.53014,73,17307,alaska,NA
-113.21999,25.40697,93,17684,alaska,NA
-113.22061,25.62118,73,17313,alaska,NA
-113.22123,25.44122,73,17303,alaska,NA
-113.22565,25.34861,66,17010,alaska,NA
-113.22634,25.27381,66,17013,alaska,NA
-113.22866,25.17538,66,17023,alaska,NA
-113.2293,25.54897,73,17309,alaska,NA
-113.23566,25.14163,66,17022,alaska,NA
-113.23573,25.58719,73,17311,alaska,NA
-113.23864,25.29556,66,17012,alaska,NA
-113.24009,25.36248,66,17009,alaska,NA
-113.24037,25.74011,64,16160,alaska,NA
-113.24451,25.51907,64,16146,alaska,NA
-113.245,25.18834,66,17025,alaska,NA
-113.24733,25.57328,64,16144,alaska,NA
-113.24834,25.33131,66,17008,alaska,NA
-113.24994,25.48912,64,16147,alaska,NA
-113.2525,25.24691,66,17014,alaska,NA
-113.25499,25.35364,66,17005,alaska,NA
